model,accuracy,precision,recall,f1,roc_auc,average_precision,tn,fp,fn,tp,train_seconds,artifact_path
catboost,0.7544463087248322,0.7414127179848512,0.742589978828511,0.7420008814455707,0.852163764899396,0.8432545498666735,4784,1468,1459,4209,,artifacts/ml/catboost_tuned.joblib
xgboost,0.7559563758389262,0.7438571681103058,0.7424135497529993,0.7431346578366446,0.8511581586764501,0.841885416436483,4803,1449,1460,4208,,artifacts/ml/xgboost_tuned.joblib
lightgbm,0.7575503355704698,0.7461020552799433,0.7429428369795342,0.7445190947666195,0.8503340751707513,0.8408071674939268,4819,1433,1457,4211,,artifacts/ml/lightgbm_tuned.joblib
gradient_boosting,0.7544463087248322,0.7449508489722967,0.7353563867325336,0.7401225250821273,0.8492909227409966,0.8393368712788427,4825,1427,1500,4168,16.114376100013033,artifacts/ml/gradient_boosting.joblib
random_forest,0.749496644295302,0.7265968232510983,0.7586450247000706,0.7422751596754704,0.8414359486827305,0.829186626787693,4634,1618,1368,4300,0.9499293999979272,artifacts/ml/random_forest.joblib
logistic_regression,0.7369127516778523,0.7255880256593015,0.7184191954834157,0.7219858156028369,0.8279240269084253,0.8157018506089063,4712,1540,1596,4072,0.2053919999743811,artifacts/ml/logistic_regression.joblib
